;Rainfall (in)
405954	1948	9	1	1	0	0
405954	1948	9	27	14	0	0.01
405954	1948	9	27	15	0	0.02
405954	1948	9	27	16	0	0.07
405954	1948	9	27	17	0	0.02
405954	1948	9	27	18	0	0.01
405954	1948	9	27	21	0	0.01
405954	1948	9	28	0	0	0.01
405954	1948	9	28	2	0	0.02
405954	1948	9	28	3	0	0.02
405954	1948	9	28	4	0	0.34
405954	1948	9	28	5	0	0.24
405954	1948	9	28	6	0	0.05
405954	1948	9	28	7	0	0.1
405954	1948	9	28	8	0	0.04
405954	1948	9	28	9	0	0.03
405954	1948	9	28	10	0	0.03
405954	1948	9	28	11	0	0.07
405954	1948	9	28	12	0	0.15
405954	1948	9	28	13	0	0.01
405954	1948	9	28	14	0	0.04
405954	1948	9	28	19	0	0.01
405954	1948	9	29	22	0	0.02
405954	1948	10	1	1	0	0
405954	1948	10	7	0	0	0.25
405954	1948	10	7	2	0	0.1
405954	1948	10	10	14	0	0.01
405954	1948	10	10	15	0	0.01
405954	1948	10	10	16	0	0.01
405954	1948	10	17	4	0	0.15
405954	1948	10	17	5	0	0.1
405954	1948	10	17	6	0	0.11
405954	1948	10	17	7	0	0.19
405954	1948	10	17	8	0	0.05
405954	1948	10	17	9	0	0.05
405954	1948	10	17	11	0	0.05
405954	1948	10	31	5	0	0.03
405954	1948	10	31	6	0	0.87
405954	1948	10	31	7	0	0.18
405954	1948	10	31	8	0	0.13
405954	1948	10	31	9	0	0.05
405954	1948	10	31	10	0	0.01
405954	1948	11	1	1	0	0
405954	1948	11	2	0	0	0.05
405954	1948	11	2	1	0	0.6
405954	1948	11	2	2	0	0.67
405954	1948	11	2	3	0	0.13
405954	1948	11	5	2	0	0.15
405954	1948	11	5	3	0	0.3
405954	1948	11	5	4	0	0.03
405954	1948	11	5	5	0	0.07
405954	1948	11	5	6	0	0.18
405954	1948	11	5	7	0	0.42
405954	1948	11	5	8	0	0.12
405954	1948	11	5	9	0	0.02
405954	1948	11	5	10	0	0.11
405954	1948	11	9	13	0	0.2
405954	1948	11	9	14	0	0.1
405954	1948	11	9	15	0	0.05
405954	1948	11	9	16	0	0.17
405954	1948	11	9	17	0	0.12
405954	1948	11	9	18	0	0.06
405954	1948	11	9	19	0	0.02
405954	1948	11	9	20	0	0.08
405954	1948	11	9	21	0	0.04
405954	1948	11	12	3	0	0.01
405954	1948	11	12	4	0	0.04
405954	1948	11	12	5	0	0.01
405954	1948	11	12	6	0	0.05
405954	1948	11	12	7	0	0.02
405954	1948	11	12	9	0	0.02
405954	1948	11	12	14	0	0.01
405954	1948	11	12	15	0	0.01
405954	1948	11	12	16	0	0.01
405954	1948	11	12	17	0	0.01
405954	1948	11	12	22	0	0.01
405954	1948	11	16	0	0	0.3
405954	1948	11	16	1	0	0.12
405954	1948	11	16	2	0	0.13
405954	1948	11	16	3	0	0.06
405954	1948	11	16	4	0	0.03
405954	1948	11	16	5	0	0.01
405954	1948	11	16	6	0	0.05
405954	1948	11	16	7	0	0.11
405954	1948	11	16	8	0	0.1
405954	1948	11	18	8	0	0.05
405954	1948	11	18	9	0	0.05
405954	1948	11	18	10	0	0.11
405954	1948	11	18	11	0	0.19
405954	1948	11	18	12	0	0.37
405954	1948	11	18	13	0	0.28
405954	1948	11	18	14	0	0.35
405954	1948	11	18	15	0	0.16
405954	1948	11	18	16	0	0.07
405954	1948	11	18	17	0	0.19
405954	1948	11	18	18	0	0.13
405954	1948	11	18	19	0	0.35
405954	1948	11	18	20	0	0.28
405954	1948	11	18	21	0	0.27
405954	1948	11	18	22	0	0.17
405954	1948	11	18	23	0	0.08
405954	1948	11	19	1	0	0.05
405954	1948	11	21	15	0	0.05
405954	1948	11	21	16	0	0.05
405954	1948	11	21	17	0	0.1
405954	1948	11	21	18	0	0.05
405954	1948	11	21	19	0	0.02
405954	1948	11	21	20	0	0.03
405954	1948	11	21	21	0	0.05
405954	1948	11	22	2	0	0.03
405954	1948	11	22	4	0	0.02
405954	1948	11	26	3	0	0.02
405954	1948	11	26	4	0	0.04
405954	1948	11	26	5	0	0.04
405954	1948	11	26	13	0	0.1
405954	1948	11	26	14	0	0.2
405954	1948	11	26	15	0	0.01
405954	1948	11	26	16	0	0.04
405954	1948	11	26	17	0	0.02
405954	1948	11	26	18	0	0.01
405954	1948	11	27	20	0	0.23
405954	1948	11	27	21	0	0.01
405954	1948	11	27	22	0	0.09
405954	1948	11	27	23	0	0.03
405954	1948	11	28	0	0	0.01
405954	1948	11	28	1	0	0.01
405954	1948	11	28	2	0	0.11
405954	1948	11	28	3	0	0.11
405954	1948	11	28	10	0	0.01
405954	1948	11	28	11	0	0.04
405954	1948	11	28	12	0	0.02
405954	1948	11	28	14	0	0.01
405954	1948	11	28	16	0	0.02
405954	1948	11	28	17	0	0.01
405954	1948	11	28	18	0	0.01
405954	1948	11	28	19	0	0.03
405954	1948	11	28	20	0	0.01
405954	1948	11	28	21	0	0.01
405954	1948	11	28	23	0	0.01
405954	1948	12	1	1	0	0
405954	1948	12	2	18	0	0.05
405954	1948	12	2	20	0	0.06
405954	1948	12	2	21	0	0.09
405954	1948	12	3	0	0	0.05
405954	1948	12	3	1	0	0.01
405954	1948	12	5	8	0	0.02
405954	1948	12	5	9	0	0.02
405954	1948	12	5	10	0	0.02
405954	1948	12	5	11	0	0.01
405954	1948	12	5	12	0	0.01
405954	1948	12	14	22	0	0.27
405954	1948	12	14	23	0	0.05
405954	1948	12	15	0	0	0.02
405954	1948	12	15	2	0	0.08
405954	1948	12	15	3	0	0.05
